application_date,permit_status,permit_type,event_category,event_sub_category,name_of_event,year_month_app,event_start_date,event_end_date,event_location_park,event_location_neighborhood,council_district,precinct,organization,attendance
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (6.25),S16JU073,06/25/2016 12:00:00 AM,06/25/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,705.0
02/02/2016 12:00:00 AM,Complete,Special Event,Community,,Fremont Solstice Fair,S16JU103,06/17/2016 12:00:00 AM,06/19/2016 12:00:00 AM,,Fremont,6,North,Fremont Chamber of Commerce,36050.0
02/02/2016 12:00:00 AM,In Process,Special Event,Mixed Free Speech,,Capitol Hill Pride Festival,S16JU107,06/25/2016 12:00:00 AM,06/26/2016 12:00:00 AM,,Capitol Hill,3,East,Northwest Museum of Legends and Lore,60050.0
02/10/2016 12:00:00 AM,Complete,Special Event,Commercial,,Wildrose Pride 2016,S16JU121,06/24/2016 12:00:00 AM,06/26/2016 12:00:00 AM,,Capitol Hill,3,East,Wildrose,4390.0
02/12/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Capitol Hill Pride Festival March & Rally,S16JU124,06/25/2016 12:00:00 AM,06/25/2016 12:00:00 AM,,Capitol Hill,3,East,Northwest Museum of Legends and Lore,212.0
02/22/2016 12:00:00 AM,Complete,Special Event,Community,,Greenwood Car Show,S16JU143,06/25/2016 12:00:00 AM,06/25/2016 12:00:00 AM,,Greenwood,6,North,Greenwood Knights,1050.0
03/04/2016 12:00:00 AM,In Process,Special Event,Mixed Free Speech,,Seattle Pride Parade,S16JU157,06/26/2016 12:00:00 AM,06/26/2016 12:00:00 AM,,Downtown,7,West,Seattle Pride,204000.0
03/07/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Rock 'n' Roll Marathon,S16JU159,06/18/2016 12:00:00 AM,06/18/2016 12:00:00 AM,,Sodo,2;3;7,South,Competitor Group Inc,28000.0
03/07/2016 12:00:00 AM,Complete,Special Event,Community,,2016 Seattle Spring Opener,S16JU164,06/05/2016 12:00:00 AM,06/05/2016 12:00:00 AM,,Georgetown,2,South,Seattle Spring Opener,300.0
03/10/2016 12:00:00 AM,Complete,Special Event,Community,,Volunteer Park Pride Festival,S16JU169,06/11/2016 12:00:00 AM,06/11/2016 12:00:00 AM,,Capitol Hill,3,East,Seattle Pride,2550.0
03/11/2016 12:00:00 AM,Complete,Special Event,Commercial,,Purr Pride Block Party,S16JU173,06/25/2016 12:00:00 AM,06/25/2016 12:00:00 AM,,Capitol Hill,3,East,Purr Cocktail Lounge,985.0
03/15/2016 12:00:00 AM,Complete,Special Event,Community,,Georgetown Carnival,S16JU176,06/11/2016 12:00:00 AM,06/11/2016 12:00:00 AM,,Georgetown,2,South,Georgetown Merchants Association,9600.0
03/16/2016 12:00:00 AM,Complete,Special Event,Commercial,,Neighbours Gay Pride Celebration,S16JU179,06/24/2016 12:00:00 AM,06/25/2016 12:00:00 AM,,Capitol Hill,3,East,Neighbours Seattle,418.0
03/17/2016 12:00:00 AM,Complete,Special Event,Commercial,,Seattle Symphony Friday Matinees concert,S16JU185,06/10/2016 12:00:00 AM,06/10/2016 12:00:00 AM,,Downtown,7,West,Seattle Symphony/Benaroya Hall,355.0
03/18/2016 12:00:00 AM,Complete,Special Event,Community,,Roosevelt High School Neighborhood Parade,S16JU190,06/18/2016 12:00:00 AM,06/18/2016 12:00:00 AM,,Roosevelt,4,North,Roosevelt Band Boosters,190.0
03/21/2016 12:00:00 AM,Complete,Special Event,Commercial,,Drink Pink at Café Campagne,S16JU192,06/02/2016 12:00:00 AM,06/02/2016 12:00:00 AM,,Downtown,7,West,Café Campagne,112.0
03/21/2016 12:00:00 AM,Complete,Special Event,Community,,Morgan Junction Community Festival,S16JU194,06/18/2016 12:00:00 AM,06/18/2016 12:00:00 AM,,West Seattle,1,West,Morgan Community Association (MoCA),750.0
02/16/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Hillel of UW,S16MR133,03/03/2016 12:00:00 AM,03/03/2016 12:00:00 AM,,University District,4,North,Red Carpet Valet,125.0
03/21/2016 12:00:00 AM,Complete,Special Event,Community,,HONK! Fest West 2016 (Columbia City),S16JU197,06/19/2016 12:00:00 AM,06/19/2016 12:00:00 AM,,Columbia City,2,South,HONK! Fest West,1800.0
03/23/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Seattle Dyke March,S16JU200,06/25/2016 12:00:00 AM,06/25/2016 12:00:00 AM,,Capitol Hill,3,East,Seattle Dyke March,725.0
03/25/2016 12:00:00 AM,Complete,Special Event,Commercial,,SAM Party in the Park,S16JU203,06/24/2016 12:00:00 AM,06/24/2016 12:00:00 AM,,Downtown,7,West,Seattle Art Museum,600.0
03/21/2016 12:00:00 AM,Complete,Special Event,Community,,HONK! Fest West 2016 (Capitol Hill),S16JU205,06/17/2016 12:00:00 AM,06/17/2016 12:00:00 AM,,Capitol Hill,3,East,HONK! Fest West,1800.0
03/28/2016 12:00:00 AM,Complete,Special Event,Commercial,,Fuel Outdoor Beer Garden (6.11),S16JU208,06/11/2016 12:00:00 AM,06/11/2016 12:00:00 AM,,Pioneer Square,7,South,Fuel Sports Eats and Beats,420.0
03/29/2016 12:00:00 AM,Complete,Special Event,Citywide,,Fremont Solstice Parade,S16JU210,06/18/2016 12:00:00 AM,06/18/2016 12:00:00 AM,,Fremont,4;6,North,Fremont Arts Council,25000.0
03/29/2016 12:00:00 AM,Complete,Special Event,Community,,Fremont Solstice Celebration,S16JU213,06/18/2016 12:00:00 AM,06/18/2016 12:00:00 AM,,Fremont,6,North,Fremont Arts Council,2000.0
03/29/2016 12:00:00 AM,Complete,Special Event,Community,,Fremont Solstice Float Move,S16JU214,06/17/2016 12:00:00 AM,06/17/2016 12:00:00 AM,,Fremont,6,North,Fremont Arts Council,300.0
03/29/2016 12:00:00 AM,Complete,Special Event,Community,,Pride Party in Tilikum Park,S16JU215,06/26/2016 12:00:00 AM,06/26/2016 12:00:00 AM,,Belltown,7,West,The 5 Point Café,510.0
03/30/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Race for the Cure - Susan G. Komen,S16JU217,06/05/2016 12:00:00 AM,06/05/2016 12:00:00 AM,,Queen Anne,7,West,Susan G. Komen Puget Sound,5500.0
03/31/2016 12:00:00 AM,Complete,Special Event,Commercial,,Cuff Pride Day Celebration,S16JU220,06/26/2016 12:00:00 AM,06/26/2016 12:00:00 AM,,Capitol Hill,3,East,Cuff Pride Day Celebration,
04/06/2016 12:00:00 AM,Complete,Special Event,Community,,Hopscotch CD,S16JU230,06/11/2016 12:00:00 AM,06/11/2016 12:00:00 AM,,Central District,3,East,Centerstone,500.0
12/01/2015 12:00:00 AM,Complete,Special Event,Commercial,,Clips Beer and Film Tour,S16JY007,07/29/2016 12:00:00 AM,07/29/2016 12:00:00 AM,Gas Works Park,Portage Bay,4,West,The World is Fun,2500.0
11/25/2015 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Crown of Queen Anne Fun Run/Walk,S16JY020,07/09/2016 12:00:00 AM,07/09/2016 12:00:00 AM,,Queen Anne,7,West,Crown of Queen Anne Fun Run/Walk,760.0
11/20/2015 12:00:00 AM,Complete,Special Event,Athletic,Cycling,Group Health Seattle to Portland presented by Alaska Airlines (STP),S16JY021,07/16/2016 12:00:00 AM,07/16/2016 12:00:00 AM,,University District,2;3;4,North,Cascade Bicycle Club,10090.0
12/21/2015 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Float Dodger 5K,S16JY032,07/23/2016 12:00:00 AM,07/23/2016 12:00:00 AM,,West Seattle,1,Southwest,Run for Good Racing Co./5 Focus,650.0
12/29/2015 12:00:00 AM,Complete,Special Event,Athletic,Cycling,Seattle Night Ride,S16JY040,07/08/2016 12:00:00 AM,07/08/2016 12:00:00 AM,,Multiple Neighborhoods,6;7,North;West,Cascade Bicycle Club,620.0
01/04/2016 12:00:00 AM,Complete,Special Event,Athletic,Water,Fat Salmon Open Water Swim,S16JY042,07/16/2016 12:00:00 AM,07/16/2016 12:00:00 AM,Madison Park,Multiple Neighborhoods,3,East,Orca Swim Team,450.0
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (3.19),S16MR067,03/19/2016 12:00:00 AM,03/19/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,705.0
01/25/2016 12:00:00 AM,Complete,Special Event,Community,,Magnolia Little League Annual Parade,S16MR088,03/26/2016 12:00:00 AM,03/26/2016 12:00:00 AM,,Magnolia,7,West,Magnolia Little League,2025.0
01/27/2016 12:00:00 AM,Complete,Special Event,Commercial,,"The 5th Avenue Theatre Student Matinee for ""How to Succeed in Business""",S16MR093,03/03/2016 12:00:00 AM,03/04/2016 12:00:00 AM,,Downtown,7,West,The 5th Avenue Theatre,1820.0
02/01/2016 12:00:00 AM,Complete,Special Event,Commercial,,All Hands,S16MR100,03/31/2016 12:00:00 AM,03/31/2016 12:00:00 AM,,Multiple Neighborhoods,7,West,Spplus,2940.0
02/01/2016 12:00:00 AM,Complete,Special Event,Commercial,,Fuel Outdoor Beer Garden (3.19),S16MR101,03/19/2016 12:00:00 AM,03/19/2016 12:00:00 AM,,Pioneer Square,7,South,Fuel Outdoor Beer Garden,420.0
02/09/2016 12:00:00 AM,Complete,Special Event,Commercial,,Seattle Symphony Friday Matinees Concert,S16MR114,03/25/2016 12:00:00 AM,03/25/2016 12:00:00 AM,,Downtown,7,West,Seattle Symphony/Benaroya Hall,355.0
02/16/2016 12:00:00 AM,Complete,Special Event,Commercial,,Starbucks Coffee Company 2016 Annual Shareholders Meeting,S16MR126,03/23/2016 12:00:00 AM,03/23/2016 12:00:00 AM,,Queen Anne,7,West,Starbucks Coffee Company,3000.0
02/16/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Holocaust Center,S16MR128,03/02/2016 12:00:00 AM,03/02/2016 12:00:00 AM,,Pioneer Square,7,West,Red Carpet Valet,30.0
02/16/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Palace Ballroom,S16MR134,03/05/2016 12:00:00 AM,03/05/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,130.0
02/18/2016 12:00:00 AM,Complete,Special Event,Free Speech,,57th Tibetan Uprising Day,S16MR136,03/10/2016 12:00:00 AM,03/10/2016 12:00:00 AM,,Downtown,7,West,Tibetan Assocation of Washington Seattle Chapter,80.0
02/19/2016 12:00:00 AM,Complete,Special Event,Community,,Sound Transit U Link Launch Capitol Hill Station,S16MR140,03/19/2016 12:00:00 AM,03/19/2016 12:00:00 AM,,Capitol Hill,3,East,Sound Transit,30500.0
02/19/2016 12:00:00 AM,Complete,Special Event,Community,,Sound Transit U Link Launch University of Washington Station,S16MR141,03/19/2016 12:00:00 AM,03/19/2016 12:00:00 AM,,University District,4,North,Sound Transit,30500.0
02/22/2016 12:00:00 AM,Complete,Special Event,Athletic,Water,Class Day,S16MR144,03/26/2016 12:00:00 AM,03/26/2016 12:00:00 AM,,Montlake,3;4,North;South,University of Washington Rowing,620.0
02/26/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Palace Ballroom (3.12),S16MR150,03/12/2016 12:00:00 AM,03/12/2016 12:00:00 AM,,Downtown,7,West,Butler Valet,100.0
03/01/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Tom Douglas Event,S16MR151,03/05/2016 12:00:00 AM,03/05/2016 12:00:00 AM,,Downtown,7,West,Butler Valet,100.0
03/01/2016 12:00:00 AM,Complete,Special Event,Free Speech,,Oromo Community Rally Against Ethiopian Government,S16MR154,03/11/2016 12:00:00 AM,03/11/2016 12:00:00 AM,,Central District,3,East,Oromo Community Service of Seattle,400.0
03/10/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Pier 70 Graham and Dunn,S16MR167,03/17/2016 12:00:00 AM,03/17/2016 12:00:00 AM,,Downtown,7,West,Butler Valet,300.0
03/10/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Quality Athletics,S16MR168,03/17/2016 12:00:00 AM,03/17/2016 12:00:00 AM,,Pioneer Square,7,West,Butler Valet,50.0
03/15/2016 12:00:00 AM,Complete,Special Event,Commercial,,"National Geographic Live! Student Series: Rhinos, Rickshaws & Revolutions",S16MR177,03/21/2016 12:00:00 AM,03/22/2017 12:00:00 AM,,Downtown,7,West,Benaroya Hall,2300.0
03/16/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Neptune Theatre,S16MR178,03/25/2016 12:00:00 AM,03/25/2016 12:00:00 AM,,University District,4,North,Butler Valet,150.0
