Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App.,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
10/10/2016 12:00:00 AM,Complete,Special Event,Community,,2016 Tree Lighting Celebration,S16NO490,11/25/2016 12:00:00 AM,11/25/2016 12:00:00 AM,,Downtown,7,West,Downtown Seattle Association,3000
10/11/2016 12:00:00 AM,In Process,Special Event,Commercial,,Seattle Symphony Open Rehearsal,S16OC491,10/13/2016 12:00:00 AM,10/13/2016 12:00:00 AM,,Downtown,7,West,Seattle Symphony,1300
10/10/2016 12:00:00 AM,Complete,Special Event,Community,,Dog-o-ween,S16OC492,10/22/2016 12:00:00 AM,10/22/2016 12:00:00 AM,Bell Street Park,Belltown,7,West,Seattle Parks and Recreation,250
10/12/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Palace Ballroom (10.12),S16OC493,10/15/2016 12:00:00 AM,10/15/2016 12:00:00 AM,,Downtown,7,West,Butler Valet,60
10/12/2016 12:00:00 AM,Complete,Special Event,Community,,Seattle Symphony Friday Matinees concert (11.18),S16NO494,11/18/2016 12:00:00 AM,11/18/2016 12:00:00 AM,,Downtown,7,West,Seattle Symphony/Benaroya Hall,329
11/09/2016 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,Hot Chocolate 15K/5K,S17MR007,03/05/2017 12:00:00 AM,03/05/2017 12:00:00 AM,,Queen Anne,7,West,Ram Racing,7200
11/10/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Fred Lind Manor,S16NO512,11/16/2016 12:00:00 AM,11/16/2016 12:00:00 AM,,Capitol Hill,3,East,Red Carpet Valet,25
11/14/2016 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Tiger Oak Publications Fremont Studios,S16NO513,11/17/2016 12:00:00 AM,11/17/2016 12:00:00 AM,,Fremont,6,North,Butler Valet,300
11/14/2016 12:00:00 AM,Complete,Valet Parking,,,Butlet Valet - Seattle Aquarium - Grinstein Memorial,S16NO514,11/20/2016 12:00:00 AM,11/20/2016 12:00:00 AM,,Downtown,7,West,Butler Valet,150
11/09/2016 12:00:00 AM,In Process,Special Event,Athletic,Water,Tail of the Lake Regatta,S17OC008,10/01/2017 12:00:00 AM,10/01/2017 12:00:00 AM,,South Lake Union,4,West,Holy Names Academy Crew,1250
11/15/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - The Ruins,S16NO515,11/26/2016 12:00:00 AM,11/26/2016 12:00:00 AM,,Queen Anne,7,West,Red Carpet Valet,20
11/15/2016 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Sitka and Spruce,S16DE516,12/07/2016 12:00:00 AM,12/07/2016 12:00:00 AM,,Downtown,7,West,Red Carpet Valet,80
04/08/2016 12:00:00 AM,Complete,Special Event,Community,,Umoja Fest Africatown Heritage Festival Rally,S16AU236,08/05/2016 12:00:00 AM,08/07/2016 12:00:00 AM,,Central District,3,East,Umoja Fest,4000
04/25/2016 12:00:00 AM,Complete,Special Event,Community,,McDonald International Elementary School International Night,S16MY258,05/07/2016 12:00:00 AM,05/07/2016 12:00:00 AM,,Wallingford,4,North,McDonald International Elementary School,850
04/25/2016 12:00:00 AM,Complete,Special Event,Community,,Admiral 4th of July Kids Parade,S16JY259,07/04/2016 12:00:00 AM,07/04/2016 12:00:00 AM,Hamilton Viewpoint Park,West Seattle,1,Southwest,FIT4MOM West Seattle,910
04/25/2016 12:00:00 AM,Complete,Special Event,Community,,Rainier Valley Heritage Festival,S16AU260,08/13/2016 12:00:00 AM,08/13/2016 12:00:00 AM,,Rainier Valley,2,South,Rainier Chamber Foundation,3020
04/25/2016 12:00:00 AM,Complete,Special Event,Community,,Rainier Valley Heritage Festival Parade,S16AU261,08/13/2016 12:00:00 AM,08/13/2016 12:00:00 AM,,Rainier Valley,2,South,Rainier Chamber Foundation,3020
05/09/2016 12:00:00 AM,Cancelled,Special Event,Community,,Renegade Craft Fair,S16JY262,07/23/2016 12:00:00 AM,07/24/2016 12:00:00 AM,Magnuson Park,Sand Point,4,North,"Renegade Craft Fair, Inc.",2164
04/25/2016 12:00:00 AM,Complete,Special Event,Community,,Greaseball,S16AU263,08/14/2016 12:00:00 AM,08/14/2016 12:00:00 AM,,Sodo,2,South,"Sea Deli, Inc",325
